"state_alpha2","year","race","mu","dimension"
"WY","1972","1",0.475278311433331,"all"
"all","1972","1",0.472473498454835,"all"
"AL","1973","1",0.548819544430551,"all"
"AK","1973","1",0.53372460331704,"all"
"AZ","1973","1",0.53201699829187,"all"
"AR","1973","1",0.55739927241098,"all"
"CA","1973","1",0.529675040138384,"all"
"CO","1973","1",0.53084064965838,"all"
"CT","1973","1",0.508401938926734,"all"
"DE","1973","1",0.551638829749242,"all"
"DC","1973","1",0.527585919910955,"all"
"FL","1973","1",0.552132138383817,"all"
"GA","1973","1",0.54951100164044,"all"
"HI","1973","1",0.52905593182802,"all"
"ID","1973","1",0.535408281244306,"all"
"IL","1973","1",0.523695999448991,"all"
"IN","1973","1",0.526730440154572,"all"
"IA","1973","1",0.507127103147796,"all"
"KS","1973","1",0.50514688284209,"all"
"KY","1973","1",0.546923723907112,"all"
"LA","1973","1",0.556134475703328,"all"
"ME","1973","1",0.512126371731138,"all"
"MD","1973","1",0.549546364023834,"all"
"MA","1973","1",0.508990064939224,"all"
"MI","1973","1",0.525362919857295,"all"
"MN","1973","1",0.504453674429493,"all"
"MS","1973","1",0.548850442794452,"all"
"MO","1973","1",0.503695729526206,"all"
"MT","1973","1",0.534090051026839,"all"
"NE","1973","1",0.506653640161555,"all"
"NV","1973","1",0.538691256057371,"all"
"NH","1973","1",0.510607510160465,"all"
"NJ","1973","1",0.530816742498401,"all"
"NM","1973","1",0.531830329707434,"all"
"NY","1973","1",0.529281843801929,"all"
"NC","1973","1",0.550009859964915,"all"
"ND","1973","1",0.504055560198714,"all"
"OH","1973","1",0.526128480953859,"all"
